dao_id,proposal_id,proposal_title,created,protocol,category_cluster,forum_url,id,post_count,views,reply_count,like_count,forum_created,forum_bumped,forum_url_from
opcollective.eth,0x2a1c563340067fd135847b66c89b5f81ef96c126708336737ad946c128aae440,DeFi Committee [Group B],8/25/22 15:09,optimism,Committee Selection,https://gov.optimism.io/t/draft-s02-committee-proposal-category-defi-group-b/3318,3318,33,2851,12,47,2022-08-17T19:59:25.584Z,2022-09-12T19:08:17.666Z,snapshot
opcollective.eth,0x5d3f7aca80dac05c70eae279551d3c8baed64fdfbc52c7cd1e7dfeeba6baf207,Tooling & Infrastructure Committee [Group A],8/25/22 15:07,optimism,Committee Selection,https://gov.optimism.io/t/draft-s02-committee-proposal-tooling-governance-committee/3333,3333,34,2852,16,43,2022-08-18T16:04:48.498Z,2022-09-12T19:07:11.735Z,snapshot
opcollective.eth,0x8bd10fa2a38047fb65c6c4138cfed3f180fd9075888cac6d7f783728f4d93ae3,DeFi Committee [Group C],8/25/22 15:09,optimism,Committee Selection,https://gov.optimism.io/t/draft-so2-committee-proposal-defi-group-c/3320,3320,106,4478,84,175,2022-08-17T23:19:24.907Z,2022-09-12T19:07:42.234Z,snapshot
opcollective.eth,0x1521d43b549216dddcc4d7628779097d0f22c93d8a63de4e9b7d26b102e0ae3b,NFT & Gaming Committee [Group A],8/26/22 9:12,optimism,Committee Selection,https://gov.optimism.io/t/draft-so2-committee-proposal-nfts-gaming-group-a/3364,3364,32,3234,10,96,2022-08-24T23:16:42.819Z,2023-01-06T04:29:20.864Z,snapshot
opcollective.eth,0x58c408348473856bdd0f8fcdde26936a3f828a33bdb91d5a5e4286237c9ba397,DeFi Committee [Group A],8/25/22 15:08,optimism,Committee Selection,https://gov.optimism.io/t/s02-committee-proposal-decentralized-finance-governance-committee-group-a/3286,3286,30,3235,11,65,2022-08-12T04:42:30.880Z,2022-09-12T19:03:15.442Z,snapshot
opcollective.eth,0x37fc8a6ae60cff2e4e72fe9c0567f739bb9a78262c2ada236892fcbc7af2c32d,Special Voting Cycle #9a: Grants Council,12/8/22 15:41,optimism,Committee Selection,https://gov.optimism.io/t/special-voting-cycle-9a-grants-council/4198,4198,19,5443,6,92,2022-12-06T20:25:23.380Z,2023-01-27T08:32:46.394Z,snapshot
opcollective.eth,0x3a1f9a30c47d6060f3b732404f3a6b2ceba3da07be0505ef0f93b6dab7fa3185,Special Voting Cycle #9a: Protocol Delegation Program,12/8/22 15:45,optimism,Committee Selection,https://gov.optimism.io/t/special-voting-cycle-9a-protocol-delegation-program/4200,4200,16,6731,4,71,2022-12-06T21:11:05.813Z,2022-12-30T15:42:50.317Z,snapshot
opcollective.eth,0x7b9a8eee9f90c7af6587afc5aef0db050c1e5ee9277d3aa18d8624976fb466bd,Final test,6/9/22 15:23,optimism,Committee Selection,,,,,,,,,manual
opcollective.eth,0xe4a520e923a4669fceb53c88caa13699c2fd94608df08b9a804506ac808a02f9,Test Proposal,8/10/22 12:18,optimism,Committee Selection,,,,,,,,,manual
arbitrumfoundation.eth,0xe07fb357b2b40e042ca58a36a1534afc33a1d313d4781ac433536bc884fc3c65,Arbitrum DAO Grants - Delegated Domain Allocation by Questbook,6/29/23 14:44,arbitrum,Committee Selection and Community Initiatives,https://forum.arbitrum.foundation/t/delegated-domain-allocation-by-questbook-arbitrum-dao-grants/14688,14688,66,8137,33,401,2023-05-29T18:08:18.033Z,2023-08-07T22:29:52.578Z,snapshot
arbitrumfoundation.eth,0xf949b8c0629644390752cc09ba1ae641116fdf10733d32c35f8968e3ce79a399, Empowering Early Contributors: The community Arbiter Proposal 2.0,2/6/24 19:00,arbitrum,Committee Selection and Community Initiatives,https://forum.arbitrum.foundation/t/non-constitutional-empowering-early-contributors-the-community-arbiter-proposal-2-0/20404,20404,61,4607,30,110,2024-01-03T15:40:56.588Z,2024-04-12T20:33:49.844Z,snapshot
arbitrumfoundation.eth,0x6b001068a3aa7f58e0e334a1f717be2145eb4c7b3f3af479cd827020aa2993a6,Accelerating Arbitrum - leveraging Camelot as an ecosystem hub to support native builders,7/14/23 15:58,arbitrum,Committee Selection and Community Initiatives,https://forum.arbitrum.foundation/t/proposal-accelerating-arbitrum-leveraging-camelot-as-an-ecosystem-hub-to-support-native-builders/15116,15116,284,18311,158,939,2023-06-29T15:27:11.322Z,2023-09-17T15:22:22.689Z,snapshot
